priority_rank,intervention_tier,id_rumah_sakit,nama_rumah_sakit,provinsi,kelas_rumah_sakit,kepemilikan,intervention_priority_score,double_inefficiency,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,digital_conversion_gap,recommended_intervention
1,Tier 1 — Inefisiensi Ganda,RS0257,RSUD Sejahtera 6,Papua,B,Pemerintah Daerah,0.8642123287671233,True,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Infrastruktur; Tekanan Kapasitas,0.9726027397260274,0.06849315068493145,32.1,83.0,-23.232064467721813,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
2,Tier 1 — Inefisiensi Ganda,RS0262,RS Husada Mulia 3,Papua Barat,D,Swasta,0.8551520270270271,True,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur; Tekanan Kapasitas,0.9527027027027027,0.03378378378378388,12.5,84.1,-19.41757400310244,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
3,Tier 2 — Early Warning,RS0223,RS Permata Bunda 2,Nusa Tenggara Barat,C,Pemerintah Pusat,0.847179203539823,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur,0.9823008849557522,0.04424778761061943,20.1,81.6,-31.41051209482236,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
4,Tier 1 — Inefisiensi Ganda,RS0265,RS Harapan Bangsa 6,Papua Barat,C,Swasta,0.8454092920353982,True,Tekanan Kapasitas,Kesenjangan Kapabilitas IT,Tekanan Kapasitas; Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif,0.9889380530973451,0.10398230088495564,37.5,63.0,-6.446473671479595,"Optimalkan referral routing, penyeimbangan kapasitas, dan kanal virtual yang sesuai."
5,Tier 2 — Early Warning,RS0241,RSUD Karya Insani 3,Maluku,C,Pemerintah Daerah,0.8320243362831858,False,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.9734513274336283,0.03539823008849552,12.5,47.6,-17.76222449566234,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
6,Tier 2 — Early Warning,RS0165,RS Karya Insani 5,Kalimantan Utara,C,Swasta,0.8273230088495575,False,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,0.9734513274336283,0.0,7.3,60.1,-28.464517357751173,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
7,Tier 2 — Early Warning,RS0228,RS Permata Bunda 7,Nusa Tenggara Barat,D,Swasta,0.8247466216216216,False,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.9189189189189189,0.0,9.0,83.4,-23.331469545826536,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
8,Tier 1 — Inefisiensi Ganda,RS0271,RS Harapan Bangsa 4,Papua Tengah,D,Swasta,0.8213682432432434,True,Tekanan Kapasitas,Gap Konversi Investasi — indikator relatif,Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.8074324324324325,0.07770270270270274,32.7,83.6,-10.853930892993347,"Optimalkan referral routing, penyeimbangan kapasitas, dan kanal virtual yang sesuai."
9,Tier 1 — Inefisiensi Ganda,RS0213,RS Bunda Kasih 1,Sulawesi Barat,C,Swasta,0.8183628318584072,True,Kesenjangan Integrasi,Kesenjangan Adopsi,Kesenjangan Integrasi; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT; Tekanan Kapasitas; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,1.0,0.06194690265486724,25.1,87.2,-8.607029538462598,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
10,Tier 2 — Early Warning,RS0230,RSUD Permata Bunda 1,Nusa Tenggara Timur,B,Pemerintah Daerah,0.818236301369863,False,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.9863013698630136,0.02739726027397249,31.2,48.7,-17.26536301057477,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
